kernel_radius,b,c,h,w,max_fn_sec,max_fn_value,luca_fn_sec,luca_fn_value
2,16,8,16,16,0.2378468779998002,0.06657179445028305,,
2,16,8,32,32,0.2413771799999722,0.06670346856117249,,
2,16,8,64,64,0.23718186199994307,0.06673520803451538,,
2,16,8,128,128,0.23769564299982449,0.06665020436048508,,
2,16,16,4,4,0.8898685540000315,0.06716780364513397,,
2,16,16,8,8,0.8924838180000734,0.0666319951415062,,
2,16,16,16,16,0.922822714999711,0.06654058396816254,,
2,16,16,32,32,0.8959021510004277,0.0666985958814621,,
2,16,16,64,64,0.8948904469998524,0.066645547747612,,
2,16,16,128,128,0.9000981079998382,0.0666467621922493,,
2,16,32,4,4,3.5143446970000696,0.06675983965396881,,
2,16,32,8,8,3.488149847999921,0.06670089066028595,,
2,16,32,16,16,3.4771844629999578,0.06665970385074615,,
2,16,32,32,32,3.495165068999995,0.06667277216911316,,
2,16,32,64,64,3.4873239140001715,0.06667667627334595,,
2,16,32,128,128,3.5580467579998185,0.06666142493486404,,
2,16,64,4,4,13.648575210999752,0.06672055274248123,,
2,16,64,8,8,13.66496710399997,0.06671059876680374,,
2,16,64,16,16,13.80206157900011,0.06663009524345398,,
2,16,64,32,32,13.720462837000014,0.0666765496134758,,
2,16,64,64,64,13.870777980000184,0.06666919589042664,,
2,16,64,128,128,13.784168515000147,0.06666705757379532,,
2,16,128,4,4,54.17742558400005,0.06661400198936462,,
2,16,128,8,8,54.508463679000215,0.0666913315653801,,
2,16,128,16,16,54.50586921100012,0.06668674200773239,,
2,16,128,32,32,54.81307226199988,0.0666673332452774,,
2,16,128,64,64,54.71202446699999,0.06666894257068634,,
2,16,128,128,128,54.881106393999744,0.06666668504476547,,
2,32,4,4,4,0.06733084600000439,0.0308039840310812,,
2,32,4,8,8,0.06765325599963035,0.03257809206843376,,
2,32,4,16,16,0.06631110599983003,0.032009679824113846,,
2,32,4,32,32,0.06754397600025186,0.03218559920787811,,
2,32,4,64,64,0.06678968899996107,0.03227611631155014,,
2,32,4,128,128,0.06750704600017343,0.032243721187114716,,
2,32,8,4,4,0.24961385899996458,0.03343026712536812,,
2,32,8,8,8,0.24355658499962374,0.032142698764801025,,
2,32,8,16,16,0.24391942200008998,0.03230608254671097,,
2,32,8,32,32,0.23963497700015068,0.03229976445436478,,
2,32,8,64,64,0.23872008499984076,0.03226369619369507,,
2,32,8,128,128,0.2403385369998432,0.03223752975463867,,
2,32,16,4,4,0.886793452999882,0.03240552172064781,,
2,32,16,8,8,0.8840964900000472,0.03224150091409683,,
2,32,16,16,16,0.8997592569999142,0.03223481401801109,,
2,32,16,32,32,0.9014621480000642,0.03228276968002319,,
2,32,16,64,64,0.9129258739999386,0.032265555113554,,
2,32,16,128,128,0.9141147459999956,0.03226731717586517,,
2,32,32,4,4,3.4373292570003287,0.03224452957510948,,
2,32,32,8,8,3.4999218610000753,0.03211798146367073,,
2,32,32,16,16,3.499713459999839,0.032322898507118225,,
2,32,32,32,32,3.5081929580001088,0.032259393483400345,,
2,32,32,64,64,3.5461033079996014,0.032263461500406265,,
2,32,32,128,128,3.4901422459997775,0.032256368547677994,,
2,32,64,4,4,13.719625309999628,0.03244779631495476,,
2,32,64,8,8,13.706225397999788,0.03224984556436539,,
2,32,64,16,16,13.742169937000199,0.032250624150037766,,
2,32,64,32,32,13.881410319999759,0.03225984796881676,,
2,32,64,64,64,13.775028423000094,0.03225621581077576,,
2,32,64,128,128,13.813547124000252,0.03225943446159363,,
2,32,128,4,4,54.27974144000018,0.032287709414958954,,
2,32,128,8,8,54.44453485999975,0.032268915325403214,,
2,32,128,16,16,54.555705878000026,0.03225331753492355,,
2,32,128,32,32,54.62867638199987,0.03225650638341904,,
2,32,128,64,64,54.77339017600025,0.032259367406368256,,
2,32,128,128,128,54.831517322999844,0.032257575541734695,,
2,64,4,4,4,0.06628883099983796,0.015729155391454697,,
2,64,4,8,8,0.06627919299990026,0.016137516126036644,,
2,64,4,16,16,0.06628497799965771,0.015925761312246323,,
2,64,4,32,32,0.06777635799971904,0.01587473228573799,,
2,64,4,64,64,0.06735383900013403,0.01581978052854538,,
2,64,4,128,128,0.06608409999989817,0.015875108540058136,,
2,64,8,4,4,0.2354930480000803,0.01508988905698061,,
2,64,8,8,8,0.23959232700008215,0.015799790620803833,,
2,64,8,16,16,0.23908991600001173,0.01593683287501335,,
2,64,8,32,32,0.24033189300007507,0.01588265970349312,,
2,64,8,64,64,0.23906064299990248,0.015884244814515114,,
2,64,8,128,128,0.23903283200024816,0.01586632989346981,,
2,64,16,4,4,0.9204497249997985,0.015927845612168312,,
2,64,16,8,8,0.8976296539999566,0.015858788043260574,,
2,64,16,16,16,0.8934577199997875,0.0158768929541111,,
2,64,16,32,32,0.8934788880001179,0.015877868980169296,,
2,64,16,64,64,0.890416770000229,0.015862783417105675,,
2,64,16,128,128,0.8882740999997623,0.015867387875914574,,
2,64,32,4,4,3.4642002680002406,0.015854325145483017,,
2,64,32,8,8,3.485432888000105,0.015827303752303123,,
2,64,32,16,16,3.4968579249998584,0.015890324488282204,,
2,64,32,32,32,3.5606691930001944,0.015864046290516853,,
2,64,32,64,64,3.46075945199982,0.01587037183344364,,
2,64,32,128,128,3.4936970379999366,0.01587511971592903,,
2,64,64,4,4,13.617007020000074,0.0159230325371027,,
2,64,64,8,8,13.745438241000102,0.015884336084127426,,
2,64,64,16,16,13.59679930700031,0.015875624492764473,,
2,64,64,32,32,13.737106109999786,0.01587817259132862,,
2,64,64,64,64,13.694413448999967,0.015872741118073463,,
2,64,64,128,128,13.821657099999811,0.015872951596975327,,
2,64,128,4,4,54.0705580519998,0.015831075608730316,,
2,64,128,8,8,54.41362207200018,0.015867169946432114,,
2,64,128,16,16,54.542574408999826,0.015876203775405884,,
2,64,128,32,32,54.900679813999886,0.015872621908783913,,
2,64,128,64,64,54.50311449899982,0.015870755538344383,,
2,64,128,128,128,54.61350268699971,0.01587270386517048,,
2,128,4,4,4,0.06891369200002373,0.007597708608955145,,
2,128,4,8,8,0.06895184000040899,0.007599520962685347,,
